OBJECT_ID,ALARM_ID,ALARM_LVL,ALARM_DESC
AGV_NODE,1,1,Agv already have a transfer command on middler get new transfer command.
AGV_NODE,2,1,Watch low power thread is charging can't do new transfer command.
AGV_NODE,3,1,Loading is off after load finished.
AGV_NODE,4,1,Carrier ID is EMPTY after load finished.
AGV_NODE,5,1,Carrier ID is ERROR after load finished.
AGV_NODE,6,1,Move finish fail.
AGV_NODE,7,1,Loading is ON after unload finished.
AGV_NODE,8,1,Fork command is exist before unload.
AGV_NODE,9,1,Vehicle is not in unload position and cannot unload.
AGV_NODE,10,1,Fork command is exist before load.
AGV_NODE,11,1,Vehicle is not in guide sections.
AGV_NODE,12,1,This address is a couple but no charge direction.
AGV_NODE,13,1,Charging is OFF after send start charge command to plc.
AGV_NODE,14,1,Charging is ON after send stop charge command to plc.
AGV_NODE,15,1,Vehicle is not in load position and cannot load.
AGV_NODE,16,1,Vehicle already have cassette cannot load.
AGV_NODE,17,1,Vehicle has no cassette to unload.
AGV_NODE,18,1,AgvcMoveCommand is not match the map to move.
AGV_NODE,19,1,Vehicle is not in transfer reject override.
AGV_NODE,20,1,Vehicle is not in moving-step reject override.
AGV_NODE,21,1,Vehicle is not pause by reserve reject override.
AGV_NODE,22,1,Unload address unmatch current command unload address.
AGV_NODE,23,1,Load address unmatch current command load address.
AGV_NODE,24,1,ToUnloadSections is empty.
AGV_NODE,25,1,ToLoadSections is empty.
AGV_NODE,26,1,Exception happened in override-check.
AGV_NODE,27,2,Fork not home reject transfer command.
AGV_NODE,28,1,Carrier ID is mismatch after load finished.
AGV_NODE,29,1,Carrier ID read reply is timeout
AGV_NODE,30,1,Vehicle has alarm cannot do transfer command.
AGV_NODE,31,1,MoveControl status is not idle cannot switch to auto mode.
AGV_NODE,32,1,Real position is null cannot switch to auto mode.
AGV_NODE,33,1,Vehicle is not in transfer reject avoid.
AGV_NODE,34,1,Vehicle is not in moving-step reject avoid.
AGV_NODE,35,1,Vehicle is not pause by reserve reject avoid.
AGV_NODE,36,1,Exception happened in avoid-check.
AGV_NODE,37,2,Get EMS from AGVC.
AGV_NODE,38,1,Interlock error when loadunload and retry count = 0.
AGV_NODE,40,1,SendWaitTimeout
AGV_NODE,100000,2,MoveControl Exception
AGV_NODE,100001,1,Send PLC to Stop AGV
AGV_NODE,100002,2,Command out of trigger range
AGV_NODE,100100,2,Move : Initail Wheel Angle Timeout
AGV_NODE,100101,2,Move : Enable allAxis Timeout
AGV_NODE,100200,2,Reserve : Get Reserve with MoveControl Idle
AGV_NODE,100201,2,Reserve : Get Reserve position not math
AGV_NODE,100202,1,Reserve : Command's Reserve out of ReserveList's Range
AGV_NODE,100300,1,SlowStop : Timeout
AGV_NODE,100400,2,STurn : AGV turning too fast
